0,0,0,0.0
0,0,1,0.29
0,0,2,0.02
0,0,3,0.66
0,0,4,0.0
0,0,5,0.03
0,1,0,0.01
0,1,1,0.02
0,1,2,0.96
0,1,3,0.01
0,1,4,0.0
0,1,5,0.0
0,2,0,0.03
0,2,1,0.21
0,2,2,0.04
0,2,3,0.0
0,2,4,0.67
0,2,5,0.05
0,3,0,0.74
0,3,1,0.0
0,3,2,0.0
0,3,3,0.26
0,3,4,0.0
0,3,5,0.0
0,4,0,0.0
0,4,1,0.49
0,4,2,0.14
0,4,3,0.22
0,4,4,0.0
0,4,5,0.15
0,5,0,0.1
0,5,1,0.02
0,5,2,0.0
0,5,3,0.6
0,5,4,0.28
0,5,5,0.0
1,0,0,0.0
1,0,1,0.06
1,0,2,0.14
1,0,3,0.71
1,0,4,0.09
1,0,5,0.0
1,1,0,0.5
1,1,1,0.1
1,1,2,0.1
1,1,3,0.0
1,1,4,0.27
1,1,5,0.03
1,2,0,0.01
1,2,1,0.07
1,2,2,0.72
1,2,3,0.18
1,2,4,0.01
1,2,5,0.01
1,3,0,0.11
1,3,1,0.1
1,3,2,0.11
1,3,3,0.0
1,3,4,0.68
1,3,5,0.0
1,4,0,0.0
1,4,1,0.0
1,4,2,0.31
1,4,3,0.67
1,4,4,0.0
1,4,5,0.02
1,5,0,0.0
1,5,1,0.92
1,5,2,0.0
1,5,3,0.01
1,5,4,0.0
1,5,5,0.07
2,0,0,0.03
2,0,1,0.0
2,0,2,0.0
2,0,3,0.24
2,0,4,0.71
2,0,5,0.02
2,1,0,0.1
2,1,1,0.36
2,1,2,0.0
2,1,3,0.02
2,1,4,0.32
2,1,5,0.2
2,2,0,0.0
2,2,1,0.0
2,2,2,0.27
2,2,3,0.66
2,2,4,0.0
2,2,5,0.07
2,3,0,0.01
2,3,1,0.02
2,3,2,0.0
2,3,3,0.0
2,3,4,0.68
2,3,5,0.29
2,4,0,0.84
2,4,1,0.07
2,4,2,0.08
2,4,3,0.0
2,4,4,0.01
2,4,5,0.0
2,5,0,0.03
2,5,1,0.66
2,5,2,0.0
2,5,3,0.23
2,5,4,0.08
2,5,5,0.0
3,0,0,0.01
3,0,1,0.12
3,0,2,0.0
3,0,3,0.08
3,0,4,0.79
3,0,5,0.0
3,1,0,1.0
3,1,1,0.0
3,1,2,0.0
3,1,3,0.0
3,1,4,0.0
3,1,5,0.0
3,2,0,0.4
3,2,1,0.0
3,2,2,0.34
3,2,3,0.14
3,2,4,0.0
3,2,5,0.12
3,3,0,0.0
3,3,1,0.0
3,3,2,0.45
3,3,3,0.0
3,3,4,0.45
3,3,5,0.1
3,4,0,0.09
3,4,1,0.53
3,4,2,0.07
3,4,3,0.03
3,4,4,0.0
3,4,5,0.28
3,5,0,0.01
3,5,1,0.0
3,5,2,0.03
3,5,3,0.02
3,5,4,0.27
3,5,5,0.67
4,0,0,0.0
4,0,1,0.02
4,0,2,0.08
4,0,3,0.04
4,0,4,0.86
4,0,5,0.0
4,1,0,0.64
4,1,1,0.02
4,1,2,0.0
4,1,3,0.0
4,1,4,0.31
4,1,5,0.03
4,2,0,0.86
4,2,1,0.0
4,2,2,0.0
4,2,3,0.01
4,2,4,0.1
4,2,5,0.03
4,3,0,0.69
4,3,1,0.0
4,3,2,0.0
4,3,3,0.0
4,3,4,0.3
4,3,5,0.01
4,4,0,0.88
4,4,1,0.0
4,4,2,0.04
4,4,3,0.03
4,4,4,0.0
4,4,5,0.05
4,5,0,0.05
4,5,1,0.81
4,5,2,0.0
4,5,3,0.13
4,5,4,0.01
4,5,5,0.0
5,0,0,0.25
5,0,1,0.22
5,0,2,0.04
5,0,3,0.03
5,0,4,0.46
5,0,5,0.0
5,1,0,0.14
5,1,1,0.05
5,1,2,0.07
5,1,3,0.0
5,1,4,0.07
5,1,5,0.67
5,2,0,0.4
5,2,1,0.0
5,2,2,0.21
5,2,3,0.15
5,2,4,0.11
5,2,5,0.13
5,3,0,0.0
5,3,1,0.0
5,3,2,0.75
5,3,3,0.0
5,3,4,0.06
5,3,5,0.19
5,4,0,0.0
5,4,1,0.0
5,4,2,0.0
5,4,3,0.0
5,4,4,0.01
5,4,5,0.99
5,5,0,0.01
5,5,1,0.84
5,5,2,0.03
5,5,3,0.0
5,5,4,0.0
5,5,5,0.12
